binCapacity,id,wardID,binColor,binID,binCategory,binFullnessThreshold,location.coordinates,location.type,deviceInfo.rfID,deviceInfo.deviceID
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,22,Green,687,Dustbin,80,"[82.952552, 25.355912]",Point,E200637C9214CAB166142F2A,GBIN000687
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,15,Green,688,Dustbin,80,"[82.975312, 25.35287]",Point,E200637C92272931661478A4,GBIN000688
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,15,Green,689,Dustbin,80,"[82.975587, 25.352353]",Point,E200637C92BB90B166161E42,GBIN000689
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,3,Green,69,Dustbin,80,"[82.969808, 25.31597]",Point,E200637C928F407166156D01,GBIN000048
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,15,Green,690,Dustbin,80,"[82.975598, 25.352337]",Point,E200637C921D1E3166145078,GBIN000690
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,38,Green,691,Dustbin,80,"[82.977205, 25.352454]",Point,E200637C92049DF16613EE77,GBIN000691
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,34,Green,692,Dustbin,80,"[82.990358, 25.342608]",Point,E200637C922967316614819C,GBIN000692
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,34,Green,693,Dustbin,80,"[82.99161, 25.341667]",Point,E200637C922BC2B166148B0A,GBIN000693
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,34,Green,694,Dustbin,80,"[82.993958, 25.339558]",Point,E200637C9239CEF16614C33B,GBIN000694
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,58,Green,695,Dustbin,80,"[83.002396, 25.330812]",Point,E200637C921938B1661440E2,GBIN000695
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,37,Green,696,Dustbin,80,"[82.99774, 25.32705]",Point,E200637C92A1FF716615B7FD,GBIN000696
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,34,Green,697,Dustbin,80,"[82.99325, 25.340338]",Point,E200637C921997B16614425E,GBIN000697
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,58,Green,698,Dustbin,80,"[83.002396, 25.330812]",Point,E200637C920F38B1661418E2,GBIN000698
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,80,Green,699,Dustbin,80,"[83.002515, 25.334468]",Point,E200637C9202EDB16613E7B6,GBIN000699
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,3,Green,70,Dustbin,80,"[82.968434, 25.316819]",Point,E200637C923888F16614BE23,GBIN000071
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,80,Green,700,Dustbin,80,"[83.002061, 25.334111]",Point,E200637C92D06EF1661671BB,GBIN000700
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,80,Green,701,Dustbin,80,"[83.002061, 25.334111]",Point,E200637C9241E0316614E380,GBIN000701
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,80,Green,702,Dustbin,80,"[83.002061, 25.334111]",Point,E200637C9231BF716614A2FD,GBIN000702
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,39,Green,703,Dustbin,80,"[83.022558, 25.331389]",Point,E200637C9228757166147DD5,GBIN000703
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,39,Green,704,Dustbin,80,"[83.020864, 25.331318]",Point,E200637C922D083166149020,GBIN000704
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,58,Green,705,Dustbin,80,"[83.002396, 25.330812]",Point,E200637C92A541316615C504,GBIN000705
